,FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,attack
2160,0.935538408184498,0.43355967178101124,1.0,1.0,0.0,0.6045450193099491,0.18667164457719032,0.5489376425228036,0.9886936491182657,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9300562103956056,0.9379207164399811,0.8174446695252495,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.4699619298479025,0.9763173522852492,0.8997270204845679,0.0,1.0,0.0,0.0,1.0,0.8793188640222755,0.47705792933713265,0.5491814286627861,0.014394904489407064,0.9764739022868851,0.9269379333856405,0.9684404804833853,0.9727216720991995,1.0,0.0,0.9580906091868016,0.2838428685649079,0.9612300796322379,3.6695912276913924e-05,0.0,0.0,0.0,0
2161,0.8942363316056439,0.43436313896565093,1.0,1.0,0.0,0.6045450193099491,0.18667164457719032,0.5467742963874219,0.9893632799531177,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9338494642002345,0.9391429615554521,0.8175127607209616,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.4699619298479025,0.9769409713123804,0.9013335769383022,0.0,1.0,0.0,0.0,1.0,0.8793188640222755,0.47705792933713265,0.5481550169469838,0.014394904489407064,0.9762550614844008,0.9255268263858548,0.9706226914371898,0.9727216720991995,1.0,0.0,0.9582159260228558,0.2838428685649079,0.9611893262098985,3.6695912276913924e-05,0.0,0.0,0.0,0
2162,0.9529808108434983,0.43300166265567996,1.0,1.0,0.0,0.6045450193099491,0.18667164457719032,0.5447555358857417,0.9892344584149603,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9311941628395256,0.9377307872649094,0.818352986799606,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.47121425354306257,0.9778206174171645,0.901245544879522,0.0,1.0,0.0,0.0,1.0,0.8793188640222755,0.47705792933713265,0.5481550169469838,0.014394904489407064,0.9763643395964345,0.9420865820598106,0.9684404804833853,0.9732268613693138,1.0,0.0,0.9593433865431746,0.29694333381584,0.9635011337019904,3.6695912276913924e-05,0.0,0.0,0.0,0
2163,0.9122036711337906,0.4345416177352062,1.0,1.0,0.0,0.6045450193099491,0.19028480580511342,0.5435534685549688,0.990161732326127,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9305872706677474,0.9379480611538026,0.8182621040462952,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.47121425354306257,0.9782236812746087,0.9010034853368811,0.0,1.0,0.0,0.0,1.0,0.8793188640222755,0.47705792933713265,0.5481550169469838,0.014394904489407064,0.9768751578545094,0.9353593993924303,0.968104685118806,0.9721156973331117,1.0,0.0,0.9591867893736281,0.29257651206552926,0.9624463541312528,3.6695912276913924e-05,0.0,0.0,0.0,0
2164,0.9220044355526154,0.4338720522715929,1.0,1.0,0.0,0.6045450193099491,0.19028480580511342,0.5417749339894382,0.9891572860738491,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9353665761423365,0.9392243597733398,0.8193748649940384,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.4724653566498265,0.9757312076125003,0.9019498585877734,0.0,1.0,0.0,0.0,1.0,0.8798339006783973,0.4787452043616456,0.5481550169469838,0.014394904489407064,0.9768023057798202,0.935453424221151,0.968104685118806,0.9721156973331117,1.0,0.0,0.958591681028934,0.2882096903152186,0.9621625989359572,3.6695912276913924e-05,0.0,0.0,0.0,0
2165,0.9462721103700714,0.43436308210717073,1.0,1.0,0.0,0.6045450193099491,0.18827714600353573,0.5389385426668266,0.9901100831290811,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9343802874976896,0.9385727500811862,0.8196700780299022,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.47121425354306257,0.9756576892226045,0.9048110722121597,0.0,1.0,0.0,0.0,1.0,0.8798339006783973,0.4787452043616456,0.5420093368293131,0.014394904489407064,0.9768023057798202,0.9421809741730185,0.9680207690573728,0.9721156973331117,1.0,0.0,0.958779558531973,0.3187771699647497,0.9623656066671142,3.6695912276913924e-05,0.0,0.0,0.0,0
2166,0.8931278077383199,0.43443006139692414,1.0,1.0,0.0,0.6045450193099491,0.18907958350925114,0.5365829782765243,0.9893373548697755,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9341527917987802,0.9378664509613892,0.820078851985842,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.4680846648935584,0.9767942205963629,0.906219642390653,0.0,1.0,0.0,0.0,1.0,0.8798339006783973,0.4784082758076089,0.5420093368293131,0.014394904489407064,0.9750877208188728,0.934371404121888,0.9684404804833853,0.9721156973331117,1.0,0.0,0.9590301922040815,0.3187771699647497,0.9623656066671142,3.6695912276913924e-05,0.0,0.0,0.0,0
2167,0.954847597093285,0.4337158620263021,1.0,1.0,0.0,0.5999985814546474,0.19068571135051293,0.5350448571771484,0.9896464461734977,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9334700677273655,0.9391158288161561,0.8215322389983961,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.4696494592183107,0.9766840860434062,0.9061535897275631,0.0,1.0,0.0,0.0,1.0,0.8798339006783973,0.476721000783096,0.5420093368293131,0.014394904489407064,0.9770208620038878,0.9398288843170508,0.9684404804833853,0.9721156973331117,1.0,0.0,0.9590301922040815,0.3056769773164614,0.9623656066671142,3.6695912276913924e-05,0.0,0.0,0.0,0
2168,0.9249210955406959,0.4354120642095995,1.0,1.0,0.0,0.5999985814546474,0.18988264742988115,0.5329777139342293,0.9903160770083498,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.934759446995872,0.9385182726280686,0.8218274520342599,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.4696494592183107,0.9783707180544001,0.9065278118343935,0.0,1.0,0.0,0.0,1.0,0.8762238156168785,0.47705792933713265,0.5420093368293131,0.014394904489407064,0.9769480099291986,0.9379469186046869,0.9684404804833853,0.9735298487523576,1.0,0.0,0.9593433865431746,0.3013100192648288,0.9630141176486908,3.6695912276913924e-05,0.0,0.0,0.0,0
2169,0.8949363081455921,0.43648333483629254,1.0,1.0,0.0,0.5999985814546474,0.18586858065655676,0.5309105706913106,0.9902131805535345,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.49294493182238275,0.6228002343590355,0.8226222650839574,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.4696494592183107,0.9770508198015634,0.9083544484350785,0.0,1.0,0.0,0.0,1.0,0.8762238156168785,0.47773310257237056,0.5440589627166315,0.014394904489407064,0.9783339068187942,0.9344654289506088,0.9693637538374209,0.9722164828290851,1.0,0.0,0.9601263723909077,0.29694333381584,0.9635821342929758,3.6695912276913924e-05,0.0,0.0,0.0,0
